epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2156.95,0.33127,0.4114,0.25687,0.9619,0.97417,0.97504,0.99228,0.93164,0.97727,0.98224,0.99326,0.9415,0.38086,0.31615,0.27417,0.81867,0.000820525,0.000820525,0.000820525
30,2230.7,0.32987,0.41745,0.25376,0.96063,0.97777,0.97414,0.9924,0.93969,0.97954,0.97889,0.99321,0.94432,0.32608,0.31269,0.26895,0.75297,0.000808389,0.000808389,0.000808389
31,2303.96,0.32591,0.41187,0.25261,0.95688,0.98048,0.96753,0.9928,0.93789,0.98465,0.97174,0.99347,0.94391,0.33768,0.30409,0.31326,0.76227,0.000795954,0.000795954,0.000795954
32,2377.1,0.3282,0.4141,0.25495,0.96094,0.97585,0.97835,0.99326,0.93492,0.97898,0.98032,0.99356,0.94434,0.36355,0.31203,0.29008,0.80449,0.000783231,0.000783231,0.000783231
33,2450.48,0.32347,0.41064,0.24909,0.95361,0.97725,0.98147,0.99342,0.93844,0.98026,0.98537,0.99395,0.94354,0.34402,0.31174,0.28657,0.7745,0.000770234,0.000770234,0.000770234
34,2523.4,0.31903,0.3975,0.24332,0.95305,0.98492,0.97414,0.99294,0.94389,0.98767,0.97715,0.99361,0.94887,0.34016,0.3062,0.27752,0.76084,0.000756976,0.000756976,0.000756976
35,2596.53,0.32003,0.4016,0.24043,0.95433,0.98112,0.97715,0.99332,0.93235,0.98542,0.98136,0.99377,0.94445,0.36066,0.30316,0.29367,0.79528,0.000743468,0.000743468,0.000743468
36,2669.35,0.31367,0.39585,0.23759,0.94884,0.98252,0.97997,0.99348,0.94527,0.98615,0.985,0.9939,0.94999,0.3534,0.29941,0.26653,0.78516,0.000729725,0.000729725,0.000729725
37,2742.46,0.31211,0.39496,0.23701,0.94785,0.97893,0.9777,0.99249,0.94193,0.98265,0.98076,0.993,0.94693,0.3717,0.30443,0.28795,0.81263,0.000715761,0.000715761,0.000715761
38,2815.58,0.30882,0.38884,0.22976,0.94787,0.98354,0.97835,0.99313,0.9455,0.98747,0.98016,0.99367,0.94818,0.35182,0.3053,0.26994,0.78102,0.000701588,0.000701588,0.000701588
39,2889.96,0.30993,0.39168,0.2325,0.94808,0.98545,0.9776,0.9934,0.94601,0.98204,0.98656,0.99383,0.94987,0.35318,0.29176,0.26706,0.78609,0.000687222,0.000687222,0.000687222
40,2964.23,0.3075,0.38962,0.23126,0.94602,0.97924,0.97775,0.99343,0.9437,0.98257,0.98302,0.99395,0.94865,0.34482,0.29548,0.26871,0.77996,0.000672675,0.000672675,0.000672675
41,3037.81,0.30457,0.38591,0.2269,0.94261,0.97842,0.98171,0.99356,0.94447,0.98308,0.98677,0.99417,0.94943,0.3462,0.30103,0.26453,0.78362,0.000657963,0.000657963,0.000657963
42,3111.15,0.30046,0.37698,0.22666,0.94133,0.98423,0.97576,0.99335,0.94752,0.97913,0.98978,0.99415,0.95117,0.32827,0.2952,0.26635,0.75802,0.000643101,0.000643101,0.000643101
43,3184.4,0.30204,0.37916,0.22582,0.94272,0.97213,0.98571,0.99344,0.94592,0.97568,0.98914,0.99387,0.94866,0.33068,0.29652,0.2618,0.76091,0.000628101,0.000628101,0.000628101
44,3257.63,0.3019,0.38496,0.22483,0.94197,0.97088,0.98243,0.99321,0.94406,0.97739,0.98376,0.99353,0.94919,0.3341,0.29677,0.26017,0.76524,0.000612981,0.000612981,0.000612981
45,3330.86,0.29596,0.37575,0.22003,0.93993,0.98522,0.96993,0.99341,0.94527,0.9785,0.98512,0.99387,0.94889,0.31842,0.28884,0.24338,0.76713,0.000597754,0.000597754,0.000597754
46,3403.78,0.29703,0.37889,0.21811,0.93814,0.98463,0.97775,0.99355,0.94975,0.98498,0.98567,0.99412,0.95221,0.32401,0.2889,0.24514,0.76992,0.000582435,0.000582435,0.000582435
47,3476.69,0.29586,0.37478,0.21671,0.9392,0.97724,0.98094,0.99352,0.94949,0.9815,0.98908,0.99415,0.95295,0.32558,0.29075,0.25721,0.75981,0.00056704,0.00056704,0.00056704
48,3549.78,0.29303,0.37614,0.21021,0.93578,0.9767,0.98557,0.99352,0.95155,0.98925,0.98016,0.99423,0.95465,0.29956,0.28733,0.21371,0.72249,0.000551584,0.000551584,0.000551584
49,3623.27,0.28861,0.37524,0.20714,0.93308,0.98017,0.98092,0.99365,0.95521,0.98378,0.98453,0.9941,0.95791,0.30585,0.28074,0.23657,0.73245,0.000536081,0.000536081,0.000536081
50,3696.53,0.28652,0.36473,0.20663,0.93092,0.98373,0.98183,0.9939,0.95177,0.98736,0.98679,0.99429,0.95303,0.3044,0.28576,0.2279,0.72925,0.000520548,0.000520548,0.000520548
51,3769.84,0.28431,0.36472,0.2025,0.93026,0.98138,0.98273,0.99377,0.95238,0.98686,0.98617,0.99424,0.95414,0.31559,0.28771,0.24601,0.74361,0.000505,0.000505,0.000505
52,3843.3,0.28409,0.36835,0.20253,0.92996,0.97995,0.98256,0.99374,0.95301,0.98383,0.9879,0.99408,0.95529,0.31474,0.28686,0.24767,0.74177,0.000489452,0.000489452,0.000489452
53,3917.16,0.28134,0.36752,0.19949,0.92879,0.98314,0.98167,0.9938,0.95431,0.98624,0.98797,0.99423,0.95648,0.30682,0.28489,0.23455,0.73238,0.000473919,0.000473919,0.000473919
54,3990.47,0.27767,0.36143,0.19417,0.92764,0.98255,0.98206,0.99357,0.95567,0.98561,0.98878,0.99412,0.95717,0.28715,0.28572,0.21345,0.70966,0.000458416,0.000458416,0.000458416
55,4063.98,0.28357,0.36673,0.19936,0.92868,0.98195,0.98126,0.99342,0.95441,0.98671,0.98239,0.99389,0.95657,0.29912,0.28494,0.22718,0.73136,0.00044296,0.00044296,0.00044296
56,4137.61,0.27598,0.36311,0.19605,0.92543,0.97945,0.98437,0.99373,0.95717,0.98208,0.98859,0.99414,0.95799,0.29612,0.28662,0.22307,0.72655,0.000427565,0.000427565,0.000427565
57,4211.72,0.27397,0.35301,0.19196,0.92541,0.98315,0.98235,0.99379,0.95683,0.98736,0.98656,0.99414,0.9577,0.29299,0.28408,0.22291,0.7238,0.000412246,0.000412246,0.000412246
58,4285.87,0.27072,0.35173,0.19211,0.92372,0.98341,0.98256,0.99373,0.95678,0.98734,0.98477,0.99403,0.95904,0.29213,0.28337,0.22515,0.72911,0.000397019,0.000397019,0.000397019
59,4359.85,0.27473,0.35902,0.18955,0.92347,0.98352,0.98076,0.99378,0.95805,0.98755,0.98497,0.99398,0.95891,0.28407,0.28316,0.21464,0.7217,0.000381899,0.000381899,0.000381899
60,4433.95,0.27128,0.35702,0.1879,0.92436,0.98082,0.98405,0.99356,0.95684,0.98442,0.98766,0.99381,0.95857,0.28382,0.28357,0.21684,0.72362,0.000366899,0.000366899,0.000366899
61,4507.84,0.27082,0.35299,0.18723,0.92283,0.98257,0.98291,0.99353,0.95773,0.98619,0.9877,0.99383,0.95772,0.28622,0.28414,0.22057,0.7233,0.000352037,0.000352037,0.000352037
62,4581.75,0.26488,0.34556,0.18064,0.91814,0.98329,0.98136,0.99358,0.95552,0.98832,0.98737,0.99395,0.95701,0.28508,0.2849,0.21491,0.71871,0.000337325,0.000337325,0.000337325
63,4655.69,0.26576,0.34713,0.18432,0.91987,0.98304,0.98316,0.99368,0.95672,0.98973,0.98493,0.99401,0.95766,0.27328,0.28523,0.19794,0.69643,0.000322778,0.000322778,0.000322778
